未照合		2026/04/11	0	91080	未入金	期限超過	
自動消込	振り込み	2026/04/09	137410	0	入金済		銀行:1件 / 方法:振り込み
未照合		2026/04/09	0	660	未入金	期限超過	
未照合		2026/04/09	0	660	未入金	期限超過	
		2026/04/06	50270	0	入金済		銀行:1件 / 方法:振り込み
未照合		2026/04/09	0	21863	未入金	期限超過	
未照合		2026/04/09	0	144250	未入金	期限超過	
未照合		2026/04/09	0	27650	未入金	期限超過	
未照合		2026/04/09	0	12100	未入金	期限超過	
未照合		2026/04/06	0	10340	未入金	期限超過	
未照合		2026/04/06	0	122386	未入金	期限超過	
未照合		2026/04/06	0	616	未入金	期限超過	
未照合		2026/04/06	0	6875	未入金	期限超過	
		2026/04/05	0	319415	未入金	期限超過	
		2026/04/05	50000	0	入金済		銀行:1件 / 方法:振り込み
		2026/03/23	99000	0	入金済		銀行:1件 / 方法:振り込み
要確認		2026/04/05	0	271480	要確認	期限超過	
要確認		2026/04/03	57700	0	要確認	期限超過	銀行:1件 / 方法:振り込み / 要確認あり
		2026/04/02	0	12100	未入金	期限超過	
		2026/04/02	0	512256	未入金	期限超過	
		2026/03/27	0	10952700	未入金	期限超過	
未照合		2026/03/28	0	77682	未入金	期限超過	
		2026/03/30	0	77682	未入金	期限超過	
		2026/03/31	0	9130000	未入金	期限超過	
自動消込	振り込み	2026/04/03	0	1550000	未入金	期限超過	
未照合		2026/03/07	0	1352120	未入金	期限超過	
未照合		2026/03/08	0	240890	未入金	期限超過	
未照合		2026/03/30	0	311487	未入金	期限超過	
未照合		2026/03/30	0	251724	未入金	期限超過	
未照合		2026/03/30	0	70860	未入金	期限超過	
未照合		2026/03/30	0	647900	未入金	期限超過	
未照合		2026/03/29	0	80000	未入金	期限超過	
未照合		2026/03/30	0	107195	未入金	期限超過	
未照合		2026/03/28	0	7040	未入金	期限超過	
未照合		2026/03/28	0	30470	未入金	期限超過	
未照合		2026/03/26	0	17600	未入金	期限超過	
未照合		2026/03/26	0	3652	未入金	期限超過	
未照合		2026/03/23	0	124270	未入金	期限超過	
未照合		2026/03/23	0	333300	未入金	期限超過	
未照合		2026/03/23	0	52443	未入金	期限超過	
要確認		2026/03/23	0	98010	要確認	期限超過	
未照合		2026/03/23	0	138380	未入金	期限超過	
未照合		2026/03/22	0	394515	未入金	期限超過	
未照合		2026/03/13	0	106500	未入金	期限超過	
未照合		2026/03/09	0	278090	未入金	期限超過	
未照合		2026/03/21	0	357384	未入金	期限超過	
未照合		2026/03/21	0	243185	未入金	期限超過	
未照合		2026/03/21	0	157153	未入金	期限超過	
未照合		2026/03/21	0	19784	未入金	期限超過	
未照合		2026/03/16	0	154000	未入金	期限超過	
未照合		2026/03/21	0	51772	未入金	期限超過	
未照合		2026/03/21	0	44000	未入金	期限超過	
		2026/03/01	0	18200000	未入金	期限超過	
未照合		2026/03/16	0	131252	未入金	期限超過	
未照合		2026/03/16	0	11550	未入金	期限超過	
未照合		2026/03/16	0	12100	未入金	期限超過	
未照合		2026/03/16	0	9900	未入金	期限超過	
		2026/03/16	0	3236110	未入金	期限超過	
未照合		2026/03/15	0	175000	未入金	期限超過	
未照合		2026/03/16	0	98725	未入金	期限超過	
未照合		2026/03/14	0	6600	未入金	期限超過	
要確認		2026/02/28	380712	12748	要確認	期限超過	銀行:1件 / 方法:振り込み
未照合		2026/02/28	0	281770	未入金	期限超過	
未照合		2026/03/13	258698	8662	要確認	期限超過	銀行:1件 / 方法:振り込み / 要確認あり
